pemakaian;baseline;avg_pemakaian_gardu;threshold_drop_consume;consecutive_anomaly_count;anomaly_score;is_anomaly;final_score_rumus1;score_rumus2;final_score_rumus2;anomaly_type;severity_level
41.00;40.00;109.96;30.00;0;2.50;1;0.00;62.71;40.00;gardu;low
99.00;91.67;122.31;30.00;0;8.00;0;0.00;19.06;0.00;none;low
107.00;105.00;100.46;30.00;0;1.90;0;0.00;0.00;0.00;none;low
207.00;180.33;112.68;30.00;0;14.79;0;0.00;0.00;0.00;none;low
172.00;157.00;122.51;30.00;0;9.55;0;0.00;0.00;0.00;none;low
63.00;58.33;100.26;30.00;0;8.00;0;0.00;37.16;20.00;gardu;low
83.00;95.33;136.38;30.00;0;12.94;0;0.00;39.14;20.00;gardu;low
90.00;84.00;115.75;30.00;0;7.14;0;0.00;22.24;10.00;gardu;low
99.00;90.33;136.22;30.00;0;9.59;0;0.00;27.32;10.00;gardu;low
39.00;40.67;112.68;30.00;0;4.10;0;0.00;65.39;40.00;gardu;low
